input_smiles,linker,output_smiles
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1c(N)c(Nc2cc(N[*])c(Cl)cc2)cc([*])c1,CC1=C(c2ccc(N)c(Nc3ccc(Cl)c(NC(=O)NCc4scnc4C)c3)c2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1(N2CCN([*])CC2)ccc([*])nn1,CC1=C(c2ccc(N3CCN(C(=O)NCc4scnc4C)CC3)nn2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,[*]Nc1ccnc(Nc2c(Cl)ccc([*])c2)c1,CC1=C(c2ccc(Cl)c(Nc3cc(NC(=O)NCc4scnc4C)ccn3)c2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,C([*])C(=O)Nc1cc2c(cc1)OCCN2[*],CC1=C(N2CCOc3ccc(NC(=O)CC(=O)NCc4scnc4C)cc32)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,C(n1c(C)cc(N[*])c1=O)c1cc([*])ncc1,INVALID_INPUT_SMILES
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,[*]Nc1c(C)cc(Nc2cc([*])nc3cc[nH]c32)cc1,CC1=C(c2cc(Nc3ccc(NC(=O)NCc4scnc4C)c(C)c3)c3[nH]ccc3n2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,[*]N1Cc2c(c(C(C)CNC(=O)C[*])c(C)n2C)CC1,CC1=C(CC(=O)NCC(C)c2c3c(n(C)c2C)CN(C(=O)NCc2scnc2C)CC3)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,C1(=O)N(c2ccc(C(=O)N)cc2)CCN([*])C1CC(=O)Nc1ccc([*])cc1,CC1=C(c2ccc(NC(=O)CC3C(=O)N(c4ccc(C(N)=O)cc4)CCN3C(=O)NCc3scnc3C)cc2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1c(N[*])ccc(Cl)c1Nc1nc([*])c(Cl)cn1,CC1=C(c2nc(Nc3cc(NC(=O)NCc4scnc4C)ccc3Cl)ncc2Cl)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,[*]Nc1cc2c(cc1)nc([*])cc2C,CC1=C(c2cc(C)c3cc(NC(=O)NCc4scnc4C)ccc3n2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,C(=N[*])c1c2c(ccc1)n1c(ccc1)c([*])n2,CC1=C(c2nc3c(C=NC(=O)NCc4scnc4C)cccc3n3cccc23)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,N([*])c1ccc2c(c1)nc([*])c(=O)n2C,CC1=C(c2nc3cc(NC(=O)NCc4scnc4C)ccc3n(C)c2=O)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1c(N[*])cc2c(C)cc([*])nc2c1,CC1=C(c2cc(C)c3cc(NC(=O)NCc4scnc4C)ccc3n2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,C1(N[*])c2c(ccc([*])c2)CCC1,CC1=C(c2ccc3c(c2)C(NC(=O)NCc2scnc2C)CCC3)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1c(C)c2c(cc1N[*])n(C)c([*])n2,CC1=C(c2nc3c(C)cc(NC(=O)NCc4scnc4C)cc3n2C)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,C1(=O)c2cc(N[*])ccc2-c2ccc([*])cc21,CC1=C(c2ccc3c(c2)C(=O)c2cc(NC(=O)NCc4scnc4C)ccc2-3)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1(Nc2c3c(nc(N[*])n2)cccc3)ccc([*])cc1,CC1=C(c2ccc(Nc3nc(NC(=O)NCc4scnc4C)nc4ccccc34)cc2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,C1C(N[*])CN(c2ccc([*])cn2)C1,CC1=C(c2ccc(N3CCC(NC(=O)NCc4scnc4C)C3)nc2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1(N)c2c(-c3ccc(N[*])cc3)cc([*])nc2ccc1,CC1=C(c2cc(-c3ccc(NC(=O)NCc4scnc4C)cc3)c3c(N)cccc3n2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1cc(N[*])cc(Nc2nccc([*])n2)c1,CC1=C(c2ccnc(Nc3cccc(NC(=O)NCc4scnc4C)c3)n2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,C1N([*])c2c(cc(Nc3nc([*])c(F)cn3)cc2)C1,CC1=C(c2nc(Nc3ccc4c(c3)CCN4C(=O)NCc3scnc3C)ncc2F)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,C1(N[*])c2cc(Cl)c(C)cc2CC1c1[nH]c([*])c(C)n1,CC1=C(c2[nH]c(C3Cc4cc(C)c(Cl)cc4C3NC(=O)NCc3scnc3C)nc2C)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,[*]Nc1c(=O)n(C)cc(-c2ccnc([*])c2)c1,CC1=C(c2cc(-c3cc(NC(=O)NCc4scnc4C)c(=O)n(C)c3)ccn2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1(C)ccc(N[*])cc1-c1cc([*])cnc1,CC1=C(c2cncc(-c3cc(NC(=O)NCc4scnc4C)ccc3C)c2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,[*]N1Cc2cc(Nc3nc([*])ccn3)ccc2CC1,CC1=C(c2ccnc(Nc3ccc4c(c3)CN(C(=O)NCc3scnc3C)CC4)n2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,C1CN([*])c2ccc(COc3c(Cl)cc([*])cc3)cc21,CC1=C(c2ccc(OCc3ccc4c(c3)CCN4C(=O)NCc3scnc3C)c(Cl)c2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1(Nc2cc(N[*])ccc2C)ncc([*])cn1,CC1=C(c2cnc(Nc3cc(NC(=O)NCc4scnc4C)ccc3C)nc2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,[*]N1Cc2c(ccc(Oc3nc([*])cc(C)c3)c2)CC1,CC1=C(c2cc(C)cc(Oc3ccc4c(c3)CN(C(=O)NCc3scnc3C)CC4)n2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1c(N[*])ccc(C)c1Nc1cc([*])nc(C)n1,CC1=C(c2cc(Nc3cc(NC(=O)NCc4scnc4C)ccc3C)nc(C)n2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,[*]Nc1cc2c(cc1)n(C)c1cc([*])ncc1c2=O,CC1=C(c2cc3c(cn2)c(=O)c2cc(NC(=O)NCc4scnc4C)ccc2n3C)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1(C)cc(N[*])ccc1Nc1nc([*])cc(C)n1,CC1=C(c2cc(C)nc(Nc3ccc(NC(=O)NCc4scnc4C)cc3C)n2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,N([*])c1ccc(Nc2nc([*])c(C)cn2)cc1,CC1=C(c2nc(Nc3ccc(NC(=O)NCc4scnc4C)cc3)ncc2C)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1(N[*])cc(-c2c3c(N)ncc([*])c3[nH]c2)ccc1,CC1=C(c2cnc(N)c3c(-c4cccc(NC(=O)NCc5scnc5C)c4)c[nH]c23)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,n1(C)cc(N[*])cc1-c1ccc([*])nc1,CC1=C(c2ccc(-c3cc(NC(=O)NCc4scnc4C)cn3C)cn2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,[*]N1CCC(c2cc([*])[nH]n2)CC1,CC1=C(c2cc(C3CCN(C(=O)NCc4scnc4C)CC3)n[nH]2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1nc(N)c(C=Cc2ccc(N[*])cc2)cc1[*],CC1=C(c2cnc(N)c(C=Cc3ccc(NC(=O)NCc4scnc4C)cc3)c2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1c(N[*])ccc2c1c(C)cc1c([*])cc(C)nc12,CC1=C(c2cc(C)nc3c2cc(C)c2cc(NC(=O)NCc4scnc4C)ccc23)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,n1ccc(N2CCN([*])CC2)c2c1cc([*])cc2,CC1=C(c2ccc3c(N4CCN(C(=O)NCc5scnc5C)CC4)ccnc3c2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,[nH]1c2cc(N[*])ccc2c(C)c1[*],CC1=C(c2[nH]c3cc(NC(=O)NCc4scnc4C)ccc3c2C)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,[*]Nc1cccc(Nc2nccc([*])n2)c1,CC1=C(c2ccnc(Nc3cccc(NC(=O)NCc4scnc4C)c3)n2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,[*]Nc1ccc2c(c1)c(C)cc([*])n2,CC1=C(c2cc(C)c3cc(NC(=O)NCc4scnc4C)ccc3n2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,N1([*])Cc2c(Nc3nc([*])c(C)cn3)cccc2C(C)(C)C1,CC1=C(c2nc(Nc3cccc4c3CN(C(=O)NCc3scnc3C)CC4(C)C)ncc2C)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1(N)c(N2CCN([*])CC2)cc([*])cc1,CC1=C(c2ccc(N)c(N3CCN(C(=O)NCc4scnc4C)CC3)c2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1(N[*])cc2c(C)cc([*])nc2cc1,CC1=C(c2cc(C)c3cc(NC(=O)NCc4scnc4C)ccc3n2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,CN([*])c1cc2ccc([*])cc2cn1,CC1=C(c2ccc3cc(N(C)C(=O)NCc4scnc4C)ncc3c2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,C(N[*])c1cc2c(o1)ccc([*])c2,CC1=C(c2ccc3oc(CNC(=O)NCc4scnc4C)cc3c2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1cc(C)c2c(c1N[*])cc(C(N1CCC([*])CC1)=O)[nH]2,CC1=C(C2CCN(C(=O)c3cc4c(NC(=O)NCc5scnc5C)ccc(C)c4[nH]3)CC2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1(Cl)c(N)cc(N2CCN([*])CC2)cc1[*],CC1=C(c2cc(N3CCN(C(=O)NCc4scnc4C)CC3)cc(N)c2Cl)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1c(C)c2[nH]c(N[*])cc2cc1[*],CC1=C(c2cc(C)c3[nH]c(NC(=O)NCc4scnc4C)cc3c2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1c(Nc2ncc(Cl)c(N[*])n2)ccc([*])c1,CC1=C(c2ccc(Nc3ncc(Cl)c(NC(=O)NCc4scnc4C)n3)cc2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,n1c(N)c2c(c(Nc3cc(Cl)c(N[*])cc3)nc1C)cc([*])c2,CC1=C(c2cc3c(N)nc(C)nc(Nc4ccc(NC(=O)NCc5scnc5C)c(Cl)c4)c-3c2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1c(N[*])cc(N2CC([*])CC2)cc1,CC1=C(C2CCN(c3cccc(NC(=O)NCc4scnc4C)c3)C2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,N1([*])Cc2c(c(C(C)CNC(C[*])=O)c(C)[nH]2)CC1,CC1=C(CC(=O)NCC(C)c2c(C)[nH]c3c2CCN(C(=O)NCc2scnc2C)C3)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1(N)c2c(C)cc(N[*])cc2nc([*])c1,CC1=C(c2cc(N)c3c(C)cc(NC(=O)NCc4scnc4C)cc3n2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,[*]N1Cc2cc(C)c(Nc3nc([*])ccn3)cc2CC1,CC1=C(c2ccnc(Nc3cc4c(cc3C)CN(C(=O)NCc3scnc3C)CC4)n2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1c(C)c(N[*])ccc1-c1n(C)nc([*])c1,CC1=C(c2cc(-c3ccc(NC(=O)NCc4scnc4C)c(C)c3)n(C)n2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1(Nc2c(C)ccc(N[*])c2)cc([*])nc2c1cc[nH]2,CC1=C(c2cc(Nc3cc(NC(=O)NCc4scnc4C)ccc3C)c3cc[nH]c3n2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,O=C(c1nc2ccc(N[*])cc2c(C)c1)Nc1cc([*])cc(Cl)c1,CC1=C(c2cc(Cl)cc(NC(=O)c3cc(C)c4cc(NC(=O)NCc5scnc5C)ccc4n3)c2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,N([*])c1nccc(Nc2ccc3c(c2)CCc2c([*])c(C)c(=O)n3CC2)c1,INVALID_INPUT_SMILES
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1cc(N[*])ccc1Nc1nc([*])cc(C)n1,CC1=C(c2cc(C)nc(Nc3ccc(NC(=O)NCc4scnc4C)cc3)n2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,[*]Nc1ccc2c(c1)C(=O)c1c([*])[nH]nc1-2,CC1=C(c2[nH]nc3c2C(=O)c2cc(NC(=O)NCc4scnc4C)ccc2-3)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,C(c1c(N[*])ccc(Oc2cc([*])nc(C)n2)c1)C,CCc1cc(Oc2cc(C3=C(C)N=NC3C)nc(C)n2)ccc1NC(=O)NCc1scnc1C
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,n1c(Nc2ccc(N[*])cc2)cc([*])cc1,CC1=C(c2ccnc(Nc3ccc(NC(=O)NCc4scnc4C)cc3)c2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,[*]Nc1cc2c(cc1)Oc1c(cc([*])cc1)C21CCOCC1,CC1=C(c2ccc3c(c2)C2(CCOCC2)c2cc(NC(=O)NCc4scnc4C)ccc2O3)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,C1(N[*])Cc2c(ccc(Nc3c([*])c(F)ccc3)c2)C1,CC1=C(c2c(F)cccc2Nc2ccc3c(c2)CC(NC(=O)NCc2scnc2C)C3)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,n1c(Nc2ccc(N[*])cc2)cc([*])cc1Cl,CC1=C(c2cc(Cl)nc(Nc3ccc(NC(=O)NCc4scnc4C)cc3)c2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,C1CN([*])CCN1c1ccc([*])nn1,CC1=C(c2ccc(N3CCN(C(=O)NCc4scnc4C)CC3)nn2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,n1c(N)c2c(n(CC3CN([*])CCC3)nc2)nc1[*],CC1=C(c2nc(N)c3cnn(CC4CCCN(C(=O)NCc5scnc5C)C4)c3n2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1(C)cc(N[*])ccc1Nc1nc([*])ccn1,CC1=C(c2ccnc(Nc3ccc(NC(=O)NCc4scnc4C)cc3C)n2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1c(C)cc(N[*])cc1-c1cc([*])c[nH]c1=O,CC1=C(c2c[nH]c(=O)c(-c3cc(C)cc(NC(=O)NCc4scnc4C)c3)c2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,N1([*])CCC(c2nc([*])ncc2)CC1,CC1=C(c2nccc(C3CCN(C(=O)NCc4scnc4C)CC3)n2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1(N)nc(Nc2ccc(N[*])cc2)nc([*])c1,CC1=C(c2cc(N)nc(Nc3ccc(NC(=O)NCc4scnc4C)cc3)n2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,N([*])c1cc2c(cc1)Oc1c(cc([*])cc1)C21CCCN(C)C1,CC1=C(c2ccc3c(c2)C2(CCCN(C)C2)c2cc(NC(=O)NCc4scnc4C)ccc2O3)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,C(c1ccc2c([nH]c(N[*])n2)c1)(=O)Nc1cc([*])ccc1,CC1=C(c2cccc(NC(=O)c3ccc4nc(NC(=O)NCc5scnc5C)[nH]c4c3)c2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c12c(ccc(N[*])c1)n(C)cc2Cc1ccc([*])cc1,CC1=C(c2ccc(Cc3cn(C)c4ccc(NC(=O)NCc5scnc5C)cc34)cc2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,N([*])c1cc2c(cc1)-c1c(c([*])[nH]n1)C2,CC1=C(c2[nH]nc3c2Cc2cc(NC(=O)NCc4scnc4C)ccc2-3)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1c(Nc2c(Cl)cc(Cl)c(N[*])c2)ccc([*])c1,CC1=C(c2ccc(Nc3cc(NC(=O)NCc4scnc4C)c(Cl)cc3Cl)cc2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1(N)c(N([*])C)cc2c(c1)c(C(C)C)c([*])cn2,CC1=C(c2cnc3cc(N(C)C(=O)NCc4scnc4C)c(N)cc3c2C(C)C)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1c(N[*])ccc(-c2c(N)n3ccnc3c([*])n2)c1,CC1=C(c2nc(-c3ccc(NC(=O)NCc4scnc4C)cc3)c(N)n3ccnc23)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,C(N[*])c1ccc(-c2n[nH]c([*])c2)cc1,CC1=C(c2cc(-c3ccc(CNC(=O)NCc4scnc4C)cc3)n[nH]2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,N([*])c1cc2c(cc1)n(C)c1c([*])cc(C)nc21,CC1=C(c2cc(C)nc3c4cc(NC(=O)NCc5scnc5C)ccc4n(C)c23)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,N([*])c1cc2c(cc1)c(Cl)c([*])cn2,CC1=C(c2cnc3cc(NC(=O)NCc4scnc4C)ccc3c2Cl)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1c(N[*])c(=O)n(Cc2ccc([*])cc2)c2ccc(Cl)cc12,CC1=C(c2ccc(Cn3c(=O)c(NC(=O)NCc4scnc4C)cc4cc(Cl)ccc43)cc2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,[*]Nc1ccc2c(c(C)cc([*])n2)c1,CC1=C(c2cc(C)c3cc(NC(=O)NCc4scnc4C)ccc3n2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1(N2CCN([*])CC2)ccc([*])cc1C(=O)O,CC1=C(c2ccc(N3CCN(C(=O)NCc4scnc4C)CC3)c(C(=O)O)c2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,Clc1cc(Nc2c(C(=O)C)cnc3c2cc(N[*])cc3)ccc1[*],CC(=O)c1cnc2ccc(NC(=O)NCc3scnc3C)cc2c1Nc1ccc(C2=C(C)N=NC2C)c(Cl)c1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1(Nc2cc(N[*])c(F)cc2)nc([*])c(Cl)cn1,CC1=C(c2nc(Nc3ccc(F)c(NC(=O)NCc4scnc4C)c3)ncc2Cl)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,Cn1c(=O)c2c(N[*])cccc2n1C[*],CC1=C(Cn2c3cccc(NC(=O)NCc4scnc4C)c3c(=O)n2C)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,O=c1c(N[*])cc(OCC2C([*])C2)nc1C,INVALID_INPUT_SMILES
